pilot,records,peaks
Günther Bislin,3,Bölli;Tagweidlichopf;Roslen-Saxer First
Jan Sterren,3,Männlichen;Rothorn;Hällchöpfli
Johannes Engewald,3,Schwarzhorn;Falknis;Schwarzhorn
Juerg Wiedemann,3,Büel;Piz Danis;Vilan
Julien Christe,3,Dent de Valère;Saix de la Calaz;Le Pila
Jörg Mäder,3,Fulen;Nollen;Stockberg
Jürg Weber,3,Hinterhorn;Fliederhorn;Sunnighorn
Loïc Vallat,3,Tour d'Aï;Berneuse;Chaux de Tompey
Luca Coda,3,Pizzo di Corgella;Monte Bigorio;Moschera
Manuel Theler,3,Fülhorn;Folluhorn;Glishorn
Marcel Mock,3,Monte Gradiccioli;Tschingelflue;Cousimbert/Käsenberg
Marcel Schmid,3,Gross Spannort;Widderfeld;Matthorn
Marcel Weilenmann,3,Mattjisch Horn;Chlei Chrüz;Cimetta d'Orino
Marco Gähler,3,Fronalpstock;Dossen;Salmone
Marco Larcher,3,Muot da l'Hom;Stand;Tweralpspitz
Martin Kläger,3,Oberrothorn;Hohtälli;Piz Sarsura
Martin Moser,3,Stock;Hüenderegg;Engelstock
Martin de Nève,3,Ruchstock;Hasenstöck;Rot Dossen
Martins Sudars,3,Liskamm Westgipfel;Roccia Nera;Monte Niblè / Pointe Ferrand
Maurizio Bernasconi,3,Cima del Vallone;Cima Verta;Pizzo di Corbella
Noah Kiener,3,Steischlaghore;Pfaffen;Heitihubel
Pablito Cretton,3,Pointe d'Orny;Wängerhorn;Tournelle
Patrick Dünser,3,Tödi;Ringelspitz;Giübin
Patrick Plüss,3,Sunnenhöreli;Nüenchamm;Stöckli
Pavol Pivarci,3,Wissigstock;Flöschhore;Fronalpstock
Peter Widmer,3,Plattenhorn;Hörnli;Hülli
Philipp Steinger,3,Unterrothorn;Sass Queder;Piz Nair
Pipo Karrer,3,Glarner Tödi;Wildhauser Schafberg;Wildhauser Schafberg (Vorgipfel)
René Winkler,3,Fromattgrat;Gehrihorn;Albristhubel
Robin Houghton,3,Tête Blanche de By;Gumihorn;Daube
Ruben Meier,3,La Vuarette;Golitschenpass;Grammont
Sebastian Jungo,3,La Videmanette;Patraflon;Les Millets (Sommet est)
Steve Bramfitt,3,Schilthorn;Tschingel;Trogenhorn
Stöffel Fuhrmann,3,Schwalmere;Bällenhöchst;Rengghorn
Sébastien Gay,3,Corne de Sorebois;Roc de la Vache;Tablettes
Thomas Gut,3,Ladholzhore;Fromberghore;Maschgenkamm
Thomas Imhof,3,Längegg;Hüttenchöpfli;Trogbergchopf
Viera Schwery Stieberova,3,Dent de Combette;Rochers des Rayes;Walliser Wispile
Werner Berweger,3,Minschuns;Hagelstock;Siwfass
daniel von niederhäusern,3,Matro;Combiflue;Vudalla
Andrea Voumard,2,Galenstock;Cima Pian del Bozzo
Andreas Thoma,2,Cima di Nimi;Tössstock
Andy Marks,2,Burst;Bluemhorn
Anne Jan Roeleveld,2,Dreispitz;Standflue
Beat Gisin,2,Schattberg;Geitenberg
Beat Wickart,2,Forstberg;Diethelm
Björn Weber,2,Balmhorn;P3667
Béat Howald,2,Le Buement;Montagne de Sorvilier
Carlo Arnold,2,Biet;Stock
Christian Voiblet,2,Tête de Ran;Mont Raimeux
Cyril Zwahlen,2,Jakobshorn;Wirtnerechilche
Cédric Gumy,2,Männliflue;Wannelschilchli
Dani Baggenstos,2,Corno di Gesero;Wildspitz
Daniel Gosso,2,Chli Horn;Plattenegg
Daniel Schneider,2,Leiterli;Mülkerblatte
Daniel Wirz,2,Montalin;Rämisgütsch
David Rossi,2,Wandelen;Wengenhorn
Davide Grosina,2,Piz Murtèl;Pizzo Banderuola
Dino Scheidegger,2,Piz Palü;Gornergrat
Dominik Berchtold,2,Horn;Schild
Dominik Kehl,2,Mittler Bliistock;Vorder Bliistock
Erich Lemmenmeier,2,Frümsel;Schibenstoll
Fabien Debrot,2,Dent du Chamois;Dent de Broc
Ferdinand Van schelven,2,Mont Fort;Mont Gond
Florian Textor,2,Faulhorn;Walighürli
Friedrich Bloße,2,Schwarzhorn;Mittagflue
Frédéric Monnet,2,Mont Noble;La Brinta
Gerald Kernstock,2,Aletschhorn;Gwächte
Jan Caspar,2,Weissflue;Rinerhorn
Jean Claus,2,Haute Combe;La Berra
Joel Bonvin,2,Dent de Vounetse;Le Folly
Jonas Kälin,2,Chli Stärnen;Ufem Tritt
Julian Beermann,2,Mönch;Louwihorn
Julian Kaufmann,2,Titlis;Schesaplana
Jürg Ris,2,Hoh Brisen;Zollbodenchopf
Jürg Segessenmann,2,Burgfeldstand;Spitzi Flue
Kaspar Rüegg,2,Gubelspitz;Köbelberg
Klaus Jordan,2,Tothorn;Hundshorn
